name,status,elapsed_sec,best_epoch,threshold,label_tolerance,normalize_mel,model_variant,peak_mode,time_position,val_HR3_f1,val_HR3_precision,val_HR3_recall,test_HR3_f1,test_HR3_precision,test_HR3_recall,test_HR5_f1,test_SEG3_f1,test_HR3_predicted,test_HR3_truth,test_HR5_precision,test_HR5_predicted,test_HR5_recall,test_HR5_truth,test_SEG3_precision,test_SEG3_predicted,test_SEG3_recall,test_SEG3_truth,val_HR3_predicted,val_HR3_truth,val_HR5_f1,val_HR5_precision,val_HR5_predicted,val_HR5_recall,val_HR5_truth,val_SEG3_f1,val_SEG3_precision,val_SEG3_predicted,val_SEG3_recall,val_SEG3_truth
author_baseline,dry_run,0.0,,0.0001,3.0,True,cnn_lstm,maxpool,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
author_threshold_001,dry_run,0.0,,0.001,3.0,True,cnn_lstm,maxpool,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
